Node1,Sign,Node2,Weight
IL6ST,1,JAK2,6
IL6ST,1,TYK2,19
ILK,1,AKT3,3
ITCH,-1,CFLAR,1
ITCH,-1,MAVS,7
ITCH,1,NOTCH1,7
ITCH,1,TNFAIP3,8
JAK1,1,STAT1,18
JAK1,1,STAT2,18
JAK1,1,STAT3,18
JAK1,1,STAT5A,18
JAK1,1,STAT5B,18
JAK2,-1,EZH2,6
JAK2,-1,PPP2CA,7
JAK2,1,ARHGEF1,23
JAK2,1,STAT1,29
JAK2,1,STAT3,29
JAK2,1,STAT5A,29
JAK2,1,STAT5B,29
JUN,1,CREB1,100
JUN,1,CTNNB1,22
JUN,1,SMAD4,100
KDM4C,1,HIF1A,15
KDM4C,1,KDM1A,15
KLC2,1,FYCO1,14
KRAS,1,RASSF1,2
LATS2,-1,WWTR1,100
LIFR,1,JAK1,4
LIFR,1,JAK2,18
LIFR,1,TYK2,56
MAP1LC3A,1,ATG3,10
MAP2K1,1,MAPK3,7
MAP2K2,1,MAPK3,2
MAP2K3,1,MAPK11,6
MAP2K6,-1,NFE2L2,100
MAP2K6,1,MAPK11,100
MAP2K6,1,MAPK8,52
MAP3K1,1,MAPK3,4
MAP3K1,1,STAT3,4
MAP3K14,1,NFKB2,16
MAP3K4,1,MAP2K3,6
MAP3K4,1,MAP2K6,100
MAP3K6,1,MAPK14,100
MAP3K7,1,CHUK,78
MAP3K7,1,HIPK2,6
MAP3K7,1,MAP2K3,6
MAP3K7,1,MAP2K6,92
MAP3K7,1,MAP3K14,8
MAP3K7,1,MAPK8,44
MAP3K8,1,MAP2K2,2
MAPK1,-1,BRAF,4
MAPK1,-1,FGFR1,81
MAPK1,-1,GSK3B,23
MAPK1,-1,LIFR,60
MAPK1,-1,MRTFA,2
MAPK1,-1,PPP2R5C,82
MAPK1,1,ATF2,94
MAPK1,1,CAPN2,12
MAPK1,1,CTTN,8
MAPK1,1,EIF2AK2,16
MAPK1,1,PAK1,9
MAPK1,1,PML,13
MAPK1,1,PXN,6
MAPK1,1,RPTOR,21
MAPK1,1,SPHK2,3
MAPK1,1,TAGLN2,5
MAPK11,-1,NFE2L2,100
MAPK11,1,ATF2,100
MAPK11,1,HBP1,100
MAPK14,-1,CASP3,15
MAPK14,-1,CCND2,3
MAPK14,-1,FGFR1,6
MAPK14,-1,GSK3B,50
MAPK14,-1,MAPK1,94
MAPK14,1,ADAM17,50
MAPK14,1,CFLAR,17
MAPK14,1,ELK1,100
MAPK14,1,ELK4,100
MAPK14,1,ETS1,100
MAPK14,1,ETS2,100
MAPK14,1,JUN,100
MAPK14,1,JUNB,100
MAPK14,1,MAPKAPK2,5
MAPK14,1,MAX,100
MAPK14,1,MEF2A,100
MAPK14,1,MITF,100
MAPK14,1,RARA,100
MAPK14,1,RELA,100
MAPK14,1,STAT1,100
MAPK14,1,STAT3,100
MAPK14,1,USF1,100
MAPK3,-1,BCL6,100
MAPK3,-1,FGFR1,6
MAPK3,-1,GSK3B,50
MAPK3,-1,LIFR,2
MAPK3,-1,PAK1,9
MAPK3,-1,STK11,50
MAPK3,1,ADAM17,50
MAPK3,1,CEBPB,100
MAPK3,1,ELK1,100
MAPK3,1,ELK4,100
MAPK3,1,EP300,8
MAPK3,1,ETS1,100
MAPK3,1,HIF1A,100
MAPK3,1,JUND,100
MAPK3,1,MAPKAPK2,5
MAPK3,1,PCBP2,93
MAPK3,1,RPS6KA2,16
MAPK3,1,RPS6KB1,100
MAPK3,1,SMAD4,100
MAPK3,1,SP1,100
MAPK3,1,SP3,100
MAPK3,1,SREBF2,100
MAPK3,1,STAT3,100
MAPK3,1,STAT5A,100
MAPK8,-1,AIMP1,72
MAPK8,-1,CFLAR,30
MAPK8,-1,CTBP1,20
MAPK8,1,ATF2,52
MAPK8,1,ELK1,20
MAPK8,1,ELK4,20
MAPK8,1,ITCH,2
MAPK8,1,JUN,20
MAPK8,1,JUNB,20
MAPK8,1,JUND,20
MAPK8,1,PXN,6
MAPK8,1,RARA,20
MAPK8,1,RPS6KB1,20
MAPK8,1,SMAD4,20
MAPK8,1,SP1,20
MAPK8,1,STAT1,20
MAPK8,1,STAT3,20
MAPK8,1,STAT5A,20
MAPK8,1,STK4,20
MAPKAPK2,1,BAG2,5
MAPKAPK2,1,CREB1,5
MAPKAPK2,1,PIAS1,5
MAPKAPK2,1,SRF,5
MARK2,1,PARD3,100
MAVS,-1,TRAF3,93
MAVS,1,IKBKB,5
MAVS,1,TBK1,5
MMP14,-1,ADAM9,3
MOB1A,1,LATS2,100
MRTFA,1,SRF,2
MTOR,-1,ULK1,10
MTOR,1,RPS6KB1,1
MTOR,1,STAT3,1
NBR1,1,GABARAP,10
NBR1,1,MAP1LC3A,10
NCOR2,1,BCL6,98
NCOR2,1,CTBP1,98
NEDD4L,1,SMAD7,5
NFE2L2,-1,CCL2,3
NFKB1,1,RELA,100
NOTCH1,1,HIF1A,44
NOTCH1,1,RBPJ,44
NRAS,1,ARAF,65
PAK1,-1,NET1,3
PAK1,1,CTBP1,9
PAK1,1,CTNNB1,3
PCBP2,-1,MAVS,93
PCBP2,1,ITCH,7
PDPK1,1,AKT1,13
PDPK1,1,AKT2,45
PDPK1,1,AKT3,10
PDPK1,1,IKBKB,10
PDPK1,1,ITGB1,6
PDPK1,1,MAP2K1,7
PDPK1,1,PRKCA,49
PDPK1,1,PRKCD,23
PDPK1,1,RPS6KA2,16
PDPK1,1,RPS6KB1,52
PDPK1,1,SGK1,41
PEBP1,1,MAP2K1,7
PIAS1,-1,FHL1,87
PIAS1,1,AKT1,17
PIAS1,1,DDX5,100
PIAS1,1,SMAD4,100
PIAS1,1,STAT1,100
PML,1,CSNK1A1,14
PML,1,TOPBP1,5
PPP2CA,-1,ATM,9
PPP2CA,-1,ELF1,9
PPP2CA,-1,MAPK3,9
PPP2CA,-1,RELA,9
PPP2CA,-1,RPS6KB1,9
PPP2CB,-1,AKT1,17
PPP2CB,-1,AKT2,85
PPP2CB,-1,AKT3,16
PPP2CB,-1,ATM,91
PPP2CB,-1,ELF1,91
PPP2CB,-1,IKBKB,18
PPP2CB,-1,PRKCD,23
PPP2CB,-1,RPS6KB1,91
PPP2CB,-1,TRAF2,2
PPP2R2A,-1,PPP2CA,9
PPP2R5C,1,ATF1,88
PPP2R5C,1,GSK3A,37
PPP3CB,1,NFATC1,3
PPP3CC,1,NFATC1,96
PRKAA1,-1,CTBP1,100
PRKAA1,-1,MTOR,18
PRKAA1,-1,RPTOR,21
PRKAA1,1,ALDH2,66
PRKAA1,1,GAPDH,31
PRKAA1,1,PIAS1,100
PRKAA1,1,ULK1,33
PRKCA,-1,ARHGDIA,6
PRKCA,-1,CYTH2,35
PRKCA,-1,DDX5,19
PRKCA,-1,GSK3A,32
PRKCA,-1,GSK3B,21
PRKCA,-1,NFATC1,19
PRKCA,1,ABL1,12
PRKCA,1,ACTB,2
PRKCA,1,ADAM17,19
PRKCA,1,ATF2,19
PRKCA,1,CAPN1,1
PRKCA,1,IKBKB,6
PRKCA,1,ITGB1,6
PRKCA,1,MAPK1,19
PRKCA,1,MAPK3,30
PRKCA,1,NFE2L2,30
PRKCA,1,PEBP1,9
PRKCA,1,PLCG1,24
PRKCA,1,PRKG1,5
PRKCA,1,PTK2,7
PRKCA,1,RAC1,30
PRKCA,1,STAT3,30
PRKCA,1,TLN1,3
PRKCD,-1,ADRB2,7
PRKCD,-1,CTNNB1,4
PRKCD,-1,FLI1,6
PRKCD,-1,GSK3A,18
PRKCD,-1,PRKDC,6
PRKCD,-1,STAT3,6
PRKCD,-1,TRIM28,7
PRKCD,1,CTTN,3
PRKCD,1,IL6ST,19
PRKCD,1,MAPK8,10
PRKCD,1,NFE2L2,23
PRKCD,1,STAT1,23
PRKCD,1,TBL1XR1,6
PRKCE,-1,FGFR1,1
PRKCE,1,ATF2,1
PRKDC,-1,EIF2AK4,82
PRKDC,1,AKT1,2
PRKDC,1,MAPK8,20
PRKDC,1,SRF,82
PRKDC,1,TRIM28,76
PRKDC,1,USF1,82
PRKG1,1,RGS2,5
PRKG1,1,SRF,5
PSEN1,1,NOTCH2,6
PTK2,-1,ACTN1,30
PTK2,1,ARHGEF6,6
PTK2,1,PXN,3
PTK2,1,TLN1,2
PTPN1,-1,ABL1,20
PTPN1,-1,ACTN1,29
PTPN1,-1,PRKCD,6
PTPN1,-1,PTK2,6
PTPN1,-1,STAT5A,51
PTPN1,-1,STAT5B,51
PTPN1,1,CTNNB1,16
PTPN1,1,CTTN,3
PTPN1,1,IGF1R,17
PTPN1,1,JAK2,7
PTPN1,1,PPP2R2A,9
PTPN1,1,STAT3,12
PTPN1,1,TYK2,12
PXN,1,ILK,3
RAC1,-1,RHOA,12
RAC1,1,AKT1,17
RAC1,1,MAP3K1,4
RAC1,1,MAPK8,20
RAC1,1,SET,91
RAC1,1,STAT3,100
RAPGEF1,1,NRAS,2
RARA,1,CTNNB1,22
RASA1,-1,HRAS,34
RASSF1,1,STK3,2
RB1,-1,YY1,3
RB1,1,HIF1A,3
RB1CC1,1,ULK2,1
RBPJ,1,GTF2A2,100
RELA,-1,NCOR2,98
RELA,1,EGR1,100
RELA,1,JUN,100
RELA,1,SP1,100
RGS2,-1,GNAQ,5
RHOA,-1,PTPN1,12
RHOA,1,MAPK8,5
RNF111,1,AP2M1,10
RNF5,-1,MAVS,5
RPS6KA2,1,ATF4,16
RPS6KA2,1,CREB1,16
RPS6KB1,1,CREM,100
RPTOR,-1,MTOR,1
SET,-1,PPP2CB,91
SGK1,-1,MAPK1,41
SGK1,-1,NEDD4L,41
SGK1,1,CREB1,41
SIRT1,-1,NFE2L2,7
SIRT1,-1,NOTCH1,7
SIRT1,-1,RELA,7
SIRT1,-1,STAT5A,7
SIRT1,1,APEX1,2
SIRT1,1,NCOR2,7
SMAD4,1,ATF1,100
SMAD4,1,CREB1,100
SMAD4,1,MEF2A,100
SMAD7,1,ACVR1,27
SMAD7,1,SMURF2,5
SMC3,-1,MXI1,100
SMURF2,-1,BMPR2,25
SMURF2,1,CTNNB1,20
SOS2,1,KRAS,2
SP1,1,ADAM17,50
SP1,1,CD2AP,21
SPHK2,-1,HDAC2,3
STAT1,1,ARNT,13
STAT1,1,IRF2,100
STAT2,1,STAT1,100
STAT3,1,EGR1,100
STAT3,1,JUNB,100
STAT3,1,RELA,100
STK11,1,MARK2,50
STK3,1,LATS2,100
STK3,1,MOB1A,100
STK38,1,AAK1,63
STK4,1,STK38,63
TAOK1,1,STK3,6
TAOK3,1,STK4,26
TBK1,1,AKT1,17
TBK1,1,IKBKB,18
TBK1,1,NFKB1,100
TBK1,1,REL,100
TBK1,1,RELA,100
TBL1XR1,-1,BCL3,12
TCF7,1,SRF,14
TLN1,1,ITGB1,5
TNFAIP3,-1,TBK1,2
TRAF3,-1,MAP3K14,16
TRAF3,1,TBK1,93
TRIM28,-1,STAT3,13
TRIM28,1,TBL1XR1,19
TYK2,1,IFNAR1,7
TYK2,1,STAT1,82
TYK2,1,STAT2,82
TYK2,1,STAT3,82
TYK2,1,STAT5A,82
TYK2,1,STAT5B,82
ULK1,-1,DYNLL1,19
ULK1,1,AMBRA1,19
ULK1,1,ATG13,13
ULK1,1,ATG9A,13
ULK1,1,RB1CC1,14
WWTR1,1,TEAD4,100
YY1,-1,NOTCH1,3
