Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
CALM1,P,0,100,0,100
CALM2,P,100,0,0,0
CALM3,P,14,0,86,-86
CAMKK2,,100,0,0,0
CAPN1,,99,1,0,1
CAPN2,,88,0,12,-12
CARM1,,100,0,0,0
CASP2,,100,0,0,0
CASP3,,85,0,15,-15
CASP6,,100,0,0,0
CASP7,,100,0,0,0
CASP8,,100,0,0,0
CAV1,,100,0,0,0
CBL,,100,0,0,0
CBLB,,100,0,0,0
CCAR2,,100,0,0,0
CCL2,,97,0,3,-3
CCNC,,100,0,0,0
CCND1,,100,0,0,0
CCND2,,97,0,3,-3
CCND3,,100,0,0,0
CCNH,,100,0,0,0
CD2AP,,79,21,0,21
CDC42,,100,0,0,0
CDK4,,100,0,0,0
CDK5,,100,0,0,0
CDK6,,97,0,3,-3
CDK7,,100,0,0,0
CDK8,,100,0,0,0
CDK9,,100,0,0,0
CDKN1B,,100,0,0,0
CDKN2C,,100,0,0,0
CEBPB,M,0,100,0,100
CFLAR,,69,17,14,3
CHKA,,100,0,0,0
CHUK,,22,0,78,-78
CLASP2,,100,0,0,0
CLK2,,100,0,0,0
COL1A1,,100,0,0,0
COP1,,100,0,0,0
CRADD,,100,0,0,0
CREB1,M,0,100,0,100
CREBBP,,100,0,0,0
CREM,M,0,100,0,100
CRK,,100,0,0,0
CRKL,,100,0,0,0
CRTC2,,100,0,0,0
CSDE1,,100,0,0,0
CSK,,100,0,0,0
CSNK1A1,,86,0,14,-14
CSNK1G1,,100,0,0,0
CSNK2A1,,100,0,0,0
CTBP1,,0,0,100,-100
CTNNA1,,100,0,0,0
CTNNB1,,58,22,20,2
CTNND1,,100,0,0,0
CTTN,,92,0,8,-8
CUL1,,100,0,0,0
CUL3,,100,0,0,0
CYLD,,85,0,15,-15
CYTH2,,65,16,19,-3
DAAM1,,100,0,0,0
DAB2,,100,0,0,0
DAB2IP,,100,0,0,0
DAG1,,100,0,0,0
DAPK3,,100,0,0,0
DAXX,,100,0,0,0
DCLRE1B,,100,0,0,0
DDB2,,100,0,0,0
DDIT3,,100,0,0,0
DDR1,,100,0,0,0
DDR2,,100,0,0,0
DDX17,,100,0,0,0
DDX3X,,100,0,0,0
DDX5,,0,100,0,100
DLC1,,100,0,0,0
DNAJB1,,100,0,0,0
DNM1,,100,0,0,0
DNMT3A,,100,0,0,0
DOCK1,,100,0,0,0
DOCK7,,100,0,0,0
DOK4,,100,0,0,0
DPYSL2,,100,0,0,0
DUSP1,,100,0,0,0
DUSP16,,100,0,0,0
DUSP3,,100,0,0,0
DUSP6,,100,0,0,0
DVL1,,100,0,0,0
DVL2,,100,0,0,0
DVL3,,100,0,0,0
DYNLL1,,81,0,19,-19
DYRK1B,,100,0,0,0
DYRK2,,100,0,0,0
ECSIT,,100,0,0,0
EEF1A1,,100,0,0,0
EGFR,,100,0,0,0
EGLN1,,100,0,0,0
EGLN2,,100,0,0,0
EGR1,M,0,100,0,100
EIF2A,,0,100,0,100
EIF2AK2,,84,0,16,-16
EIF2AK3,,100,0,0,0
EIF2AK4,,18,0,82,-82
EIF2B1,,100,0,0,0
EIF2B2,,100,0,0,0
EIF2B3,,100,0,0,0
EIF2B4,,100,0,0,0
EIF2B5,,100,0,0,0
EIF2S2,,100,0,0,0
EIF3J,,100,0,0,0
EIF4E,,100,0,0,0
EIF4EBP3,,100,0,0,0
EIF4G2,,100,0,0,0
ELAVL1,,100,0,0,0
ELF1,M,0,100,0,100
ELK1,M,0,100,0,100
ELK4,M,0,100,0,100
ENPP1,,100,0,0,0
EP300,,92,8,0,8
EPB41,,100,0,0,0
EPHA2,,100,0,0,0
ERBB2,,100,0,0,0
ERC1,,100,0,0,0
ERCC6,,98,2,0,2
ERRFI1,,100,0,0,0
ETS1,M,0,100,0,100
ETS2,M,0,100,0,100
EZH2,,77,0,23,-23
FANCC,,100,0,0,0
FAS,,100,0,0,0
FBXO31,,100,0,0,0
FBXW7,,100,0,0,0
FGFR1,,12,82,6,76
FH,,100,0,0,0
FHL1,,13,0,87,-87
FKBP4,,100,0,0,0
FKBP8,,100,0,0,0
FLCN,,100,0,0,0
FLI1,M,0,100,0,100
FLNA,,100,0,0,0
FNTA,,100,0,0,0
FOS,M,100,0,0,0
FOXO3,,100,0,0,0
FRS2,,100,0,0,0
FUS,,100,0,0,0
FYCO1,,86,0,14,-14
FZD7,,100,0,0,0
G3BP1,,100,0,0,0
G3BP2,,100,0,0,0
GAB2,,100,0,0,0
GABARAP,,73,0,27,-27
GABARAPL1,,100,0,0,0
GABARAPL2,,100,0,0,0
GABPA,,100,0,0,0
GADD45A,,100,0,0,0
GAPDH,,69,31,0,31
GIT1,,71,10,19,-9
GNA11,,100,0,0,0
GNA13,,100,0,0,0
GNAI1,,100,0,0,0
GNAQ,,75,11,14,-3
GNAS,,63,27,10,17
GNB2,,100,0,0,0
GOLGA3,,100,0,0,0
GOPC,,100,0,0,0
GPHN,,100,0,0,0
GRB10,,100,0,0,0
GRB2,,98,0,2,-2
GRIPAP1,,100,0,0,0
GRK2,,100,0,0,0
GSK3A,,0,40,60,-20
GSK3B,,27,23,50,-27
GSTP1,,100,0,0,0
GTF2A2,,0,100,0,100
HACE1,,100,0,0,0
HBEGF,,100,0,0,0
HBP1,M,0,0,100,-100
HDAC1,,12,88,0,88
HDAC2,,97,3,0,3
HDAC3,,98,2,0,2
HDAC4,,100,0,0,0
HDAC5,,100,0,0,0
HDAC6,,100,0,0,0
HDAC9,,100,0,0,0
HERC2,,100,0,0,0
HES1,,100,0,0,0
HGS,,100,0,0,0
HIF1A,M,0,100,0,100
HIPK2,,94,0,6,-6
HMGN1,,100,0,0,0
HNRNPA0,,100,0,0,0
HNRNPD,,100,0,0,0
HNRNPK,,100,0,0,0
HRAS,,63,16,21,-5
HSF1,,100,0,0,0
HSP90AA1,,100,0,0,0
HSP90AB1,,100,0,0,0
HSPA1A,,100,0,0,0
HSPA1B,,100,0,0,0
HSPA5,,100,0,0,0
HSPA8,,95,0,5,-5
HSPB1,,100,0,0,0
HTT,,100,0,0,0
ICAM1,,100,0,0,0
IFNAR1,,79,21,0,21
IFNAR2,,100,0,0,0
IFNGR1,,100,0,0,0
IGF1R,P,25,56,19,37
IGF2,,100,0,0,0
IKBKB,,82,18,0,18
IL6R,,100,0,0,0
IL6ST,,81,19,0,19
ILK,,97,0,3,-3
INSR,,100,0,0,0
IQGAP1,,100,0,0,0
IRAK1,,100,0,0,0
IRAK3,,100,0,0,0
IRAK4,,100,0,0,0
IRF1,,100,0,0,0
IRF2,M,0,100,0,100
IRS1,,100,0,0,0
IRS2,,100,0,0,0
ITCH,,91,7,2,5
ITGA5,,100,0,0,0
ITGA6,,100,0,0,0
ITGA7,P,100,0,0,0
ITGAV,,100,0,0,0
ITGB1,,89,3,8,-5
ITGB2,,100,0,0,0
ITGB4,,100,0,0,0
ITGB5,,100,0,0,0
JAK1,,82,18,0,18
JAK2,,69,29,2,27
JDP2,,100,0,0,0
JUN,M,0,100,0,100
JUNB,M,0,100,0,100
JUND,M,0,100,0,100
KAT5,,100,0,0,0
KCTD10,,100,0,0,0
KCTD13,,100,0,0,0
KDM1A,,85,15,0,15
KDM4C,,85,15,0,15
KEAP1,,100,0,0,0
KHDRBS1,,100,0,0,0
KHSRP,,100,0,0,0
KLC2,,86,0,14,-14
KMT2A,,100,0,0,0
KPNA2,,100,0,0,0
KRAS,,98,0,2,-2
KSR1,,100,0,0,0
L3MBTL2,,100,0,0,0
LARP4B,,100,0,0,0
LATS1,,100,0,0,0
LATS2,,0,0,100,-100
LIFR,,38,60,2,58
LMNA,,100,0,0,0
LMTK2,,100,0,0,0
LRIG1,,100,0,0,0
LRP5,,100,0,0,0
LRP6,,100,0,0,0
LZTR1,,100,0,0,0
MAF1,,100,0,0,0
MAGI2,,100,0,0,0
MALT1,,100,0,0,0
MAML1,,100,0,0,0
MAML2,,100,0,0,0
MAML3,,100,0,0,0
MAP1LC3A,,76,0,24,-24
MAP1LC3B,,100,0,0,0
MAP2K1,,93,7,0,7
MAP2K2,,98,2,0,2
MAP2K3,,94,0,6,-6
MAP2K4,,100,0,0,0
MAP2K5,,100,0,0,0
MAP2K6,,0,0,100,-100
MAP2K7,,100,0,0,0
MAP3K1,P,96,4,0,4
MAP3K10,P,100,0,0,0
MAP3K11,P,100,0,0,0
MAP3K12,P,100,0,0,0
MAP3K14,,84,0,16,-16
MAP3K2,P,100,0,0,0
MAP3K20,,100,0,0,0
MAP3K3,P,100,0,0,0
MAP3K4,P,0,0,100,-100
MAP3K5,P,100,0,0,0
MAP3K6,P,0,100,0,100
MAP3K7,P,8,0,92,-92
MAP3K8,P,98,2,0,2
MAPK1,,6,0,94,-94
MAPK11,,0,0,100,-100
MAPK12,,100,0,0,0
MAPK14,,0,100,0,100
MAPK3,,0,100,0,100
MAPK7,,100,0,0,0
MAPK8,,28,20,52,-32
MAPK8IP1,,100,0,0,0
MAPK9,,100,0,0,0
MAPKAPK2,,95,5,0,5
MAPKAPK3,,100,0,0,0
MAPKAPK5,,100,0,0,0
MARK2,,0,0,100,-100
MAVS,,2,5,93,-88
MAX,M,0,100,0,100
MCL1,,100,0,0,0
MDC1,,100,0,0,0
MDM2,,100,0,0,0
MECP2,,100,0,0,0
MEF2A,M,0,100,0,100
MEF2C,,100,0,0,0
MET,,100,0,0,0
MITF,M,0,100,0,100
MMP14,,97,0,3,-3
MMP2,,100,0,0,0
MNT,M,100,0,0,0
MOB1A,,0,0,100,-100
MOB1B,,100,0,0,0
MRTFA,,98,2,0,2
MTOR,,81,1,18,-17
MXI1,M,0,0,100,-100
MYO1E,,100,0,0,0
MYO5A,,99,1,0,1
NBR1,,90,0,10,-10
NCK1,,100,0,0,0
NCK2,,100,0,0,0
NCOA1,,100,0,0,0
NCOA2,,100,0,0,0
NCOR1,,100,0,0,0
NCOR2,,2,0,98,-98
NEDD4,,100,0,0,0
NEDD4L,,59,0,41,-41
NET1,,97,3,0,3
NF1,,100,0,0,0
NF2,,100,0,0,0
NFATC1,M,0,100,0,100
NFATC2,,100,0,0,0
NFE2L2,M,0,100,0,100
NFKB1,M,0,100,0,100
NFKB2,M,0,0,100,-100
NFX1,,100,0,0,0
NLGN2,,100,0,0,0
NLK,,100,0,0,0
NMI,,100,0,0,0
NOLC1,,100,0,0,0
NOTCH1,,56,44,0,44
NOTCH2,,94,0,6,-6
NOTCH4,,100,0,0,0
NPM1,,100,0,0,0
NR1D1,,100,0,0,0
NR2F2,,100,0,0,0
NR3C1,,100,0,0,0
NR4A1,,100,0,0,0
NRAS,,19,81,0,81
NRBF2,,100,0,0,0
NRF1,,100,0,0,0
NRIP1,,100,0,0,0
NUAK1,,100,0,0,0
NUMA1,,100,0,0,0
OPHN1,,100,0,0,0
OTUD5,,100,0,0,0
PABPC1,,100,0,0,0
PAK1,,91,0,9,-9
PAK1IP1,,100,0,0,0
PAK2,,100,0,0,0
PARD3,,0,0,100,-100
PARN,,100,0,0,0
PARP1,,100,0,0,0
PAXIP1,,100,0,0,0
PCBP2,,7,93,0,93
PCNA,,100,0,0,0
PDK1,,100,0,0,0
PDP1,,100,0,0,0
PDPK1,,29,52,19,33
PEA15,,100,0,0,0
PEBP1,,91,9,0,9
PELI1,,100,0,0,0
PER2,,100,0,0,0
PEX5,,100,0,0,0
PHB2,,100,0,0,0
PIAS1,,0,100,0,100
PIAS2,,100,0,0,0
PIDD1,,100,0,0,0
PIK3C3,,100,0,0,0
PIK3CA,,100,0,0,0
PIK3R1,,100,0,0,0
PIK3R3,,100,0,0,0
PIK3R4,,100,0,0,0
PIM1,,100,0,0,0
PIN1,,100,0,0,0
PIN4,,100,0,0,0
PKN1,,100,0,0,0
PLCG1,,72,15,13,2
PMAIP1,,100,0,0,0
PML,,81,0,19,-19
PPM1A,,100,0,0,0
PPM1D,,100,0,0,0
PPP1CA,,100,0,0,0
PPP1CB,,100,0,0,0
PPP1CC,,100,0,0,0
PPP1R14B,,100,0,0,0
PPP1R15A,,100,0,0,0
PPP1R2,,100,0,0,0
PPP2CA,,91,0,9,-9
PPP2CB,,9,0,91,-91
PPP2R2A,,91,9,0,9
PPP2R5A,,100,0,0,0
PPP2R5C,,12,88,0,88
PPP2R5D,,100,0,0,0
PPP3CA,,100,0,0,0
PPP3CB,,97,3,0,3
PPP3CC,,4,96,0,96
PPP3R1,P,100,0,0,0
PPP5C,,100,0,0,0
PRDX1,,100,0,0,0
PREX1,,100,0,0,0
PRKAA1,P,0,100,0,100
PRKAA2,P,100,0,0,0
PRKAB1,P,100,0,0,0
PRKACA,,100,0,0,0
PRKAG1,P,100,0,0,0
PRKCA,,51,30,19,11
PRKCD,,71,23,6,17
PRKCE,,99,0,1,-1
PRKCI,,100,0,0,0
PRKD1,,100,0,0,0
PRKDC,,18,82,0,82
PRKG1,,95,5,0,5
PSEN1,,94,0,6,-6
PSIP1,,100,0,0,0
PTEN,,100,0,0,0
PTGES3,,100,0,0,0
PTK2,P,63,0,37,-37
PTPN1,,37,12,51,-39
PTPN11,,100,0,0,0
PTPN12,,100,0,0,0
PTPN2,,100,0,0,0
PTPRA,,100,0,0,0
PXN,,94,0,6,-6
RAB5A,,100,0,0,0
RAC1,,0,100,0,100
RAC2,,100,0,0,0
RACGAP1,,100,0,0,0
RACK1,,100,0,0,0
RAD1,,100,0,0,0
RAD18,,100,0,0,0
RAD50,,100,0,0,0
RAF1,,100,0,0,0
RALA,,100,0,0,0
RALB,,100,0,0,0
RALBP1,,100,0,0,0
RANBP9,,100,0,0,0
RAP1A,,100,0,0,0
RAP1B,,100,0,0,0
RAPGEF1,,96,4,0,4
RARA,M,0,100,0,100
RASA1,,66,21,13,8
RASGRF2,,100,0,0,0
RASSF1,,98,0,2,-2
RB1,,97,3,0,3
RB1CC1,,86,14,0,14
RBL2,,100,0,0,0
RBPJ,M,0,100,0,100
RCAN1,,100,0,0,0
RCHY1,,100,0,0,0
REL,M,0,100,0,100
RELA,M,0,100,0,100
RET,,100,0,0,0
RFWD3,,100,0,0,0
RGS2,,95,5,0,5
RHEB,,100,0,0,0
RHOA,,88,0,12,-12
RHOU,,100,0,0,0
RIPK1,,100,0,0,0
RNF11,,100,0,0,0
RNF111,,90,10,0,10
RNF5,,95,0,5,-5
RNF7,,100,0,0,0
RNF8,,100,0,0,0
ROCK1,,100,0,0,0
ROCK2,,100,0,0,0
RPL13A,,100,0,0,0
RPS6KA2,,84,16,0,16
RPS6KA3,,100,0,0,0
RPS6KB1,,0,100,0,100
RPTOR,,79,0,21,-21
RRAGC,,100,0,0,0
RRAGD,,100,0,0,0
RRAS,,100,0,0,0
RXRA,,100,0,0,0
SDC4,,100,0,0,0
SEC63,,100,0,0,0
SET,,9,91,0,91
SETD2,,100,0,0,0
SF1,,100,0,0,0
SGK1,,59,41,0,41
SH3RF1,,100,0,0,0
SHC1,,100,0,0,0
SIAH1,,100,0,0,0
SIK2,,100,0,0,0
SIK3,,100,0,0,0
SIRT1,P,91,2,7,-5
SIVA1,,100,0,0,0
SKI,,100,0,0,0
SKIL,,100,0,0,0
SKP1,,100,0,0,0
SKP2,,100,0,0,0
SLK,,100,0,0,0
SMAD1,,100,0,0,0
SMAD2,,100,0,0,0
SMAD3,M,100,0,0,0
SMAD4,M,0,100,0,100
SMAD5,,100,0,0,0
SMAD7,,68,27,5,22
SMAD9,,100,0,0,0
SMARCA4,,100,0,0,0
SMARCB1,,100,0,0,0
SMC3,,0,100,0,100
SMURF2,,75,0,25,-25
SNW1,,100,0,0,0
SOCS3,,100,0,0,0
SOD1,,100,0,0,0
SOS1,,100,0,0,0
SOS2,,98,0,2,-2
SOX9,,100,0,0,0
SP1,M,0,100,0,100
SP3,M,0,100,0,100
SPART,,100,0,0,0
SPEN,,100,0,0,0
SPHK2,,97,0,3,-3
SPRY1,,100,0,0,0
SPRY2,,100,0,0,0
SQSTM1,,100,0,0,0
SREBF2,M,0,100,0,100
SRF,M,0,100,0,100
STAT1,M,0,100,0,100
STAT2,M,0,100,0,100
STAT3,M,0,100,0,100
STAT5A,M,0,100,0,100
STAT5B,M,0,100,0,100
STAT6,,100,0,0,0
STK11,,50,0,50,-50
STK24,,100,0,0,0
STK3,,0,0,100,-100
STK38,,37,63,0,63
STK38L,,100,0,0,0
STK4,,37,63,0,63
STMN1,,100,0,0,0
STUB1,,100,0,0,0
STXBP4,,100,0,0,0
SUN2,,100,0,0,0
TAB1,,100,0,0,0
TAB2,,100,0,0,0
TAB3,,100,0,0,0
TAF1,,100,0,0,0
TAGLN2,,95,0,5,-5
TAOK1,P,94,0,6,-6
TAOK3,,74,26,0,26
TAX1BP1,,100,0,0,0
TBK1,,0,100,0,100
TBL1XR1,,81,13,6,7
TBP,M,0,100,0,100
TCF7,,86,14,0,14
TDG,,100,0,0,0
TEAD4,M,0,100,0,100
TELO2,,100,0,0,0
TGFBR1,,100,0,0,0
TGFBR2,,100,0,0,0
THRA,,100,0,0,0
THRB,,100,0,0,0
TIAL1,,100,0,0,0
TIAM1,,100,0,0,0
TICAM1,,100,0,0,0
TLN1,,95,0,5,-5
TNFAIP1,,100,0,0,0
TNFAIP3,,92,6,2,4
TNFRSF10B,,100,0,0,0
TNFRSF1A,,100,0,0,0
TNFSF10,,100,0,0,0
TOPBP1,,95,0,5,-5
TP53BP1,,100,0,0,0
TRAF2,,98,2,0,2
TRAF3,,7,93,0,93
TRAF6,,100,0,0,0
TRIM28,,0,87,13,74
TRIO,,100,0,0,0
TRIP11,,100,0,0,0
TSC1,,100,0,0,0
TSC2,,100,0,0,0
TSHZ3,,100,0,0,0
TTC5,,100,0,0,0
TTI1,,100,0,0,0
TTL,,100,0,0,0
TUBA1A,,100,0,0,0
TUBA1B,,100,0,0,0
TUBB,,100,0,0,0
TXN,,100,0,0,0
TYK2,,18,82,0,82
UBE2A,,100,0,0,0
UBE2N,,100,0,0,0
UBE2V1,,100,0,0,0
UBE3A,,100,0,0,0
UIMC1,,100,0,0,0
ULK1,,67,33,0,33
ULK2,,99,1,0,1
USF1,M,0,100,0,100
USP10,,100,0,0,0
USP13,,100,0,0,0
USP28,,100,0,0,0
USP4,,100,0,0,0
VAV2,,100,0,0,0
VEGFA,,100,0,0,0
VPS39,,100,0,0,0
WDR62,,100,0,0,0
WWP1,,100,0,0,0
WWTR1,,0,100,0,100
XIAP,,100,0,0,0
XPC,,100,0,0,0
YAP1,P,100,0,0,0
YES1,,100,0,0,0
YWHAE,,100,0,0,0
YWHAH,,100,0,0,0
YWHAQ,,100,0,0,0
YY1,,94,0,6,-6
ZFYVE9,,100,0,0,0
ZMIZ1,,100,0,0,0
ZNF420,,23,0,77,-77
