Node1,Sign,Node2,Weight
CALM2,1,CAMKK2,8
CALM2,1,IQGAP1,28
CALM2,1,PPP3CB,11
CALM2,1,PPP3CC,52
CALM2,1,RAC1,67
CALM3,1,CAMKK2,8
CALM3,1,PPP3CB,12
CAMKK2,1,PRKAA1,38
CAMKK2,1,PRKAA2,11
CAMKK2,1,PRKAG1,3
CAPN2,1,GSK3A,6
CAPN2,1,GSK3B,6
CASP2,1,TRAF2,4
CASP3,-1,AKT1,5
CASP3,-1,BCAR1,6
CASP3,-1,EIF2A,21
CASP3,-1,EIF3J,5
CASP3,-1,EIF4G2,5
CASP3,-1,IKBKB,6
CASP3,-1,KDM4C,16
CASP3,-1,PTK2,2
CASP3,-1,PXN,11
CASP3,-1,RELA,21
CASP3,1,CASP6,35
CASP3,1,PAK2,21
CASP3,1,PRKDC,39
CASP3,1,PSEN1,2
CASP3,1,ROCK1,4
CASP3,1,STK3,18
CASP3,1,STK4,30
CASP6,1,HIPK2,25
CASP8,-1,MAP3K14,1
CASP8,1,CASP3,8
CBL,-1,CFLAR,38
CBL,-1,ERBB2,7
CBL,-1,ITGA5,4
CCAR2,-1,SIRT1,15
CCL2,1,MMP14,9
CCND3,1,CDK4,5
CDC42,1,MAP3K4,43
CDC42,1,PAK1,19
CDK4,-1,RASSF1,5
CDKN1B,-1,CCND3,5
CEBPB,1,CREB1,100
CEBPB,1,HSP90AA1,15
CEBPB,1,STAT3,100
CFLAR,-1,ATG3,27
CFLAR,-1,CASP8,1
CHUK,-1,NFKB1,28
CHUK,1,NFKB2,28
CREB1,1,CD2AP,16
CREB1,1,CTNNB1,1
CRK,1,CBL,1
CSNK1A1,-1,IFNAR1,9
CSNK1A1,-1,YWHAQ,5
CSNK1A1,1,APC,5
CSNK1A1,1,CREB1,7
CSNK1A1,1,LRP6,7
CSNK2A1,-1,CALM1,7
CSNK2A1,1,CCAR2,7
CSNK2A1,1,PIAS1,14
CSNK2A1,1,RELA,14
CSNK2A1,1,SRF,14
CTBP1,1,BHLHE41,5
CTNNB1,1,NOTCH1,1
CUL1,1,RNF7,29
DAB2IP,-1,KRAS,14
DAXX,1,TGFBR2,12
DDX5,1,HDAC1,29
DNAJB1,-1,HSF1,1
DOK4,1,CRK,1
DYNLL1,-1,AMBRA1,3
ECSIT,1,MAP3K1,8
ECSIT,1,MAVS,12
EGR1,1,IGF2,2
EIF2A,1,ATF4,96
EIF2AK2,-1,EIF2A,15
EIF2AK2,1,STAT1,8
EIF2AK3,-1,EIF2A,32
EIF2AK3,1,ATF4,2
EIF2AK3,1,BIRC3,15
EIF2AK3,1,NFE2L2,2
EIF2AK4,-1,EIF2A,72
EIF3J,1,EIF4G2,5
ELAVL1,1,SIRT1,22
ENPP1,-1,INSR,10
EP300,-1,BCL6,39
EP300,1,APEX1,10
EP300,1,ARNT,1
EP300,1,DDX5,4
EP300,1,FLI1,39
EP300,1,HIF1A,39
EP300,1,KPNA2,5
EP300,1,MEF2A,39
EP300,1,RELA,39
EP300,1,SMAD1,19
EP300,1,SMAD4,39
EP300,1,SMAD7,14
EP300,1,STAT3,39
EP300,1,STAT5A,39
ETS1,1,STAT1,100
FANCC,-1,EIF2AK2,15
FAS,1,DAXX,4
FBXW7,-1,DAB2IP,14
FBXW7,-1,JUN,25
FBXW7,-1,NOTCH1,11
FGFR1,-1,FRS2,19
FGFR1,1,ACAT1,18
FGFR1,1,PDK1,7
FLNA,1,MAP2K4,7
FLNA,1,MAP2K7,12
FRS2,1,CBL,19
FYCO1,1,MAP1LC3A,7
FYCO1,1,MAP1LC3B,7
GABARAP,1,GPHN,26
GABARAPL1,1,SQSTM1,5
GAPDH,-1,RHEB,8
GNAQ,1,HRAS,3
GPHN,1,ARHGEF9,3
GRB10,1,NEDD4,6
GRB2,1,PAK1,5
GRB2,1,SOS2,2
GRK2,-1,MAPK14,6
GSK3A,-1,ANKRD28,10
GSK3A,-1,BCL3,16
GSK3A,-1,CAMKK2,12
GSK3A,-1,JUN,24
GSK3A,-1,NBR1,3
GSK3A,-1,NFATC1,24
GSK3A,1,CREB1,20
GSK3A,1,LRP6,5
GSK3A,1,MITF,20
GSK3A,1,RELA,20
GSK3A,1,TSC2,19
GSK3B,-1,CAMKK2,10
GSK3B,-1,CREB1,7
GSK3B,-1,JUN,7
GSK3B,-1,NFE2L2,7
GSK3B,1,AXIN1,7
GSK3B,1,CEBPB,6
GSK3B,1,LRP6,6
GSK3B,1,NFKB1,6
GSK3B,1,NOTCH1,6
GSK3B,1,PRKCE,2
GSK3B,1,RELA,6
GTF2A2,1,TBP,100
HDAC1,-1,YY1,16
HDAC1,1,FLI1,51
HIF1A,1,BNIP3,6
HIPK2,1,DAXX,4
HIPK2,1,MECP2,8
HIPK2,1,NLK,17
HIPK2,1,PML,9
HRAS,1,ARHGEF6,5
HSF1,1,HSPA1B,10
HSP90AA1,1,FANCC,15
HSP90AA1,1,RAF1,7
HSPA1B,1,ENPP1,10
HSPA8,1,RNF5,8
IFNAR1,1,JAK1,9
IGF1R,1,PDPK1,7
IGF1R,1,RASA1,1
IGF2,1,INSR,2
IKBKB,-1,NFE2L2,6
IKBKB,-1,NFKB1,6
IKBKB,-1,TSC1,6
IL6ST,1,GAB2,1
IL6ST,1,TYK2,34
ILK,-1,GSK3A,7
ILK,1,AKT3,5
ILK,1,PPP1R14B,27
INSR,-1,ADRB2,14
INSR,-1,CALM3,2
INSR,1,CBL,19
INSR,1,DOK4,24
INSR,1,STAT5A,30
IQGAP1,-1,CDC42,43
IRF1,1,TNFSF10,11
ITCH,-1,CFLAR,6
ITCH,-1,MAVS,21
ITCH,1,NOTCH1,20
ITGA5,1,PTPN2,4
JAK1,1,STAT1,13
JAK1,1,STAT2,13
JAK1,1,STAT3,13
JAK1,1,STAT5A,13
JAK1,1,STAT5B,13
JAK1,1,TYK2,1
JUN,1,CREB1,100
JUN,1,CTNNB1,1
JUN,1,SMAD4,100
KDM1A,-1,ACTB,7
KDM4C,1,HIF1A,2
KDM4C,1,KDM1A,16
KLC2,1,FYCO1,7
KPNA2,1,IRF1,11
KRAS,1,RASSF1,14
LATS1,-1,WWTR1,76
LATS1,1,YAP1,19
LATS2,-1,WWTR1,5
LIFR,1,TYK2,4
MAP1LC3B,-1,NBR1,8
MAP2K3,1,MAPK11,20
MAP2K4,1,MAPK14,7
MAP2K5,1,MAPK7,5
MAP2K6,-1,NFE2L2,100
MAP2K6,1,MAPK11,100
MAP2K6,1,MAPK8,28
MAP2K6,1,MAPK9,19
MAP2K7,1,MAPK14,16
MAP3K1,1,CHUK,3
MAP3K1,1,MAP2K6,8
MAP3K1,1,MAPK3,8
MAP3K10,1,MAP2K7,4
MAP3K14,1,CHUK,7
MAP3K14,1,IKBKB,6
MAP3K14,1,NCK1,13
MAP3K14,1,NFKB2,21
MAP3K4,1,MAP2K3,20
MAP3K4,1,MAP2K6,48
MAP3K7,1,CHUK,5
MAP3K7,1,HIPK2,4
MAP3K7,1,IKBKB,6
MAP3K7,1,MAP2K6,30
MAP3K7,1,MAP3K14,14
MAP3K7,1,MAPK14,4
MAP3K7,1,MAPK8,4
MAP3K7,1,NFKB1,4
MAP3K7,1,NLK,12
MAPK1,-1,ARRB1,5
MAPK1,-1,BCL6,65
MAPK1,-1,FGFR1,33
MAPK1,-1,GSK3B,7
MAPK1,-1,STK11,2
MAPK1,-1,TSC2,19
MAPK1,1,ABI1,16
MAPK1,1,APBB1,51
MAPK1,1,ARHGEF2,3
MAPK1,1,ATF2,7
MAPK1,1,CAPN2,13
MAPK1,1,CEBPB,65
MAPK1,1,CSNK2A1,7
MAPK1,1,CTTN,13
MAPK1,1,EIF2AK2,8
MAPK1,1,ELK1,65
MAPK1,1,EP300,35
MAPK1,1,ETS1,65
MAPK1,1,HIF1A,65
MAPK1,1,JUN,65
MAPK1,1,JUND,65
MAPK1,1,LRP6,38
MAPK1,1,MAPKAPK5,1
MAPK1,1,MITF,65
MAPK1,1,PAK1,5
MAPK1,1,PCBP2,31
MAPK1,1,PML,7
MAPK1,1,PXN,5
MAPK1,1,RAF1,20
MAPK1,1,RARA,65
MAPK1,1,RELA,65
MAPK1,1,RPS6KA3,8
MAPK1,1,RPS6KB1,65
MAPK1,1,RPTOR,6
MAPK1,1,SMAD4,65
MAPK1,1,SP1,65
MAPK1,1,SP3,65
MAPK1,1,SREBF2,65
MAPK1,1,STAT1,65
MAPK1,1,STAT3,65
MAPK1,1,STAT5A,65
MAPK1,1,TAGLN2,8
MAPK11,-1,NFE2L2,100
MAPK11,1,ATF2,100
MAPK11,1,HBP1,100
MAPK14,-1,CASP3,21
MAPK14,-1,FGFR1,26
MAPK14,-1,GSK3B,7
MAPK14,-1,MAPK1,7
MAPK14,-1,MAPK3,12
MAPK14,1,ADAM17,20
MAPK14,1,CSNK2A1,14
MAPK14,1,ELAVL1,15
MAPK14,1,ELK1,100
MAPK14,1,ELK4,100
MAPK14,1,ETS1,100
MAPK14,1,ETS2,100
MAPK14,1,JUN,100
MAPK14,1,JUNB,100
MAPK14,1,MAPKAPK2,19
MAPK14,1,MAPKAPK5,1
MAPK14,1,MAX,100
MAPK14,1,MEF2A,100
MAPK14,1,MITF,100
MAPK14,1,PPP1R15A,4
MAPK14,1,RARA,100
MAPK14,1,RELA,100
MAPK14,1,STAT1,100
MAPK14,1,STAT3,100
MAPK14,1,USF1,100
MAPK3,-1,BCL6,43
MAPK3,-1,FGFR1,9
MAPK3,-1,GAB2,1
MAPK3,-1,HSF1,9
MAPK3,-1,LIFR,4
MAPK3,-1,MITF,12
MAPK3,-1,NFATC1,12
MAPK3,-1,STK11,7
MAPK3,1,ABI1,28
MAPK3,1,ARHGEF2,3
MAPK3,1,ATF2,12
MAPK3,1,CAPN2,4
MAPK3,1,CEBPB,43
MAPK3,1,CTTN,8
MAPK3,1,ELK1,43
MAPK3,1,ELK4,43
MAPK3,1,EP300,6
MAPK3,1,ETS1,43
MAPK3,1,GRB10,5
MAPK3,1,HIF1A,43
MAPK3,1,JUND,43
MAPK3,1,LRP6,26
MAPK3,1,MAPKAPK2,19
MAPK3,1,PCBP2,27
MAPK3,1,RAF1,18
MAPK3,1,RPS6KA2,3
MAPK3,1,RPS6KA3,17
MAPK3,1,RPS6KB1,43
MAPK3,1,SMAD1,8
MAPK3,1,SMAD4,43
MAPK3,1,SP1,43
MAPK3,1,SP3,43
MAPK3,1,SREBF2,43
MAPK3,1,STAT3,43
MAPK3,1,STAT5A,43
MAPK7,-1,PML,5
MAPK7,1,ELK4,5
MAPK7,1,ETS1,5
MAPK7,1,MEF2A,5
MAPK8,1,AKT1,13
MAPK8,1,ATF2,28
MAPK8,1,ITCH,8
MAPK8,1,NPM1,23
MAPK8IP1,-1,RBPJ,19
MAPK8IP1,1,MAPK14,7
MAPK9,-1,JUNB,19
MAPK9,1,ATF2,19
MAPK9,1,ELK1,7
MAPK9,1,JUN,7
MAPK9,1,MAPK8IP1,26
MAPK9,1,SHC1,5
MAPK9,1,STAT1,7
MAPK9,1,STAT3,7
MAPKAPK2,1,CREB1,19
MAPKAPK2,1,SRF,19
MAPKAPK5,1,DNAJB1,1
MAVS,-1,TRAF3,65
MAVS,1,CASP8,7
MAVS,1,TBK1,14
MDM2,-1,HIF1A,1
MDM2,-1,NOTCH4,1
MDM2,1,IGF1R,1
MECP2,-1,MET,4
MECP2,1,PER2,8
MET,-1,FAS,4
MET,1,GRB2,2
MMP14,-1,ADAM9,9
MOB1A,1,LATS1,1
MOB1B,1,LATS1,31
MTOR,-1,AKT1S1,5
MTOR,-1,ATG13,1
MTOR,-1,ULK1,3
MTOR,1,GRB10,6
MTOR,1,RPS6KB1,9
MTOR,1,SGK1,8
MTOR,1,STAT3,9
NBR1,1,GABARAPL1,5
NBR1,1,MAP1LC3A,3
NBR1,1,SQSTM1,7
NCOR1,-1,RBPJ,3
NCOR1,1,BCL6,3
NEDD4,-1,SPRY2,6
NEDD4L,1,NF2,8
NEDD4L,1,SMAD7,8
NF2,1,LATS1,20
NF2,1,LATS2,6
NF2,1,STK4,4
NFE2L2,-1,CCL2,9
NFKB1,1,RELA,100
NLK,-1,NOTCH1,21
NLK,-1,SMAD4,29
NOTCH1,1,HIF1A,73
NOTCH1,1,RBPJ,73
NOTCH1,1,SMAD1,8
NOTCH4,1,RBPJ,1
NPM1,1,FBXW7,6
NUAK1,-1,CASP6,4
NUAK1,-1,LATS1,4
PAK1,-1,BCL6,5
PAK1,1,CTBP1,5
PAK1,1,ILK,24
PAK2,-1,NF2,20
PAK2,1,JUN,41
PCBP2,-1,MAVS,58
PCBP2,1,ITCH,17
PDPK1,1,PKN1,7
PDPK1,1,PRKCE,7
PDPK1,1,RPS6KB1,7
PER2,1,NR1D1,22
PIAS1,1,DDX5,19
PIAS1,1,SMAD4,19
PIAS1,1,STAT1,19
PKN1,1,MAPK14,7
PKN1,1,RAF1,7
PML,1,CSNK1A1,21
PML,1,YAP1,5
PPP1CA,-1,AXIN1,1
PPP1CA,-1,MAPK3,8
PPP1CA,1,CCND3,1
PPP1CA,1,HDAC1,13
PPP1CB,1,CASP2,4
PPP1CB,1,NF2,10
PPP1CC,-1,AXIN1,4
PPP1R14B,-1,PPP1CB,10
PPP1R15A,1,PPP1CC,4
PPP1R2,-1,PPP1CA,21
PPP2CA,-1,AKT1,5
PPP2CA,-1,AKT3,8
PPP2CA,-1,APC,8
PPP2CA,-1,ATM,67
PPP2CA,-1,ELF1,67
PPP2CA,-1,MAP3K7,4
PPP2CA,-1,MAPK1,32
PPP2CA,-1,MAPK3,43
PPP2CA,-1,PAK1,5
PPP2CA,-1,PRKCD,24
PPP2CA,-1,RELA,67
PPP2CA,-1,RPS6KB1,67
PPP2CA,-1,STK3,24
PPP2CA,-1,STK4,20
PPP2CA,-1,TRAF2,15
PPP2CA,1,AXIN1,22
PPP2CA,1,MDM2,1
PPP2CB,-1,AKT3,1
PPP2CB,-1,ATM,33
PPP2CB,-1,ELF1,33
PPP2CB,-1,MAPK1,33
PPP2CB,-1,PRKCD,33
PPP2CB,-1,RPS6KB1,33
PPP2CB,-1,TRAF2,6
PPP2R2A,-1,PPP2CA,42
PPP2R2A,1,RAF1,21
PPP2R5C,-1,BCAR1,6
PPP2R5C,1,ATF1,33
PPP3CB,-1,FLNA,12
PPP3CB,1,NFATC1,17
PPP3CC,-1,FLNA,7
PPP3CC,1,NFATC1,82
PRKAA1,-1,EP300,12
PRKAA1,-1,MTOR,12
PRKAA1,-1,RAF1,12
PRKAA1,-1,RPTOR,6
PRKAA1,1,ALDH2,15
PRKAA1,1,GAPDH,8
PRKAA1,1,KLC2,12
PRKAA1,1,KPNA2,6
PRKAA1,1,PIAS1,5
PRKAA1,1,PRKAB1,6
PRKAA1,1,ULK1,6
PRKAA2,1,ULK1,23
PRKAG1,1,PRKAA2,23
PRKCD,-1,ADRB2,22
PRKCD,-1,EP300,1
PRKCD,-1,FLI1,14
PRKCD,-1,GSK3A,22
PRKCD,-1,MET,2
PRKCD,-1,PRKDC,14
PRKCD,-1,STAT3,14
PRKCD,-1,TRIM28,14
PRKCD,1,BAG3,10
PRKCD,1,CTTN,13
PRKCD,1,ELAVL1,22
PRKCD,1,IL6ST,34
PRKCD,1,ITGB2,3
PRKCD,1,NFE2L2,57
PRKCD,1,PPP1R14B,18
PRKCD,1,STAT1,57
PRKCD,1,TBL1XR1,54
PRKCE,-1,FGFR1,2
PRKCE,1,ALDH2,5
PRKCE,1,ATF2,2
PRKCE,1,STAT3,7
PRKDC,-1,EIF2AK4,72
PRKDC,1,AKT1,5
PRKDC,1,SRF,72
PRKDC,1,TRIM28,14
PRKDC,1,USF1,72
PSEN1,1,NOTCH1,2
PTK2,-1,ACTN1,2
PTPN1,-1,ABL1,14
PTPN1,-1,ACTN1,1
PTPN1,-1,PRKCD,15
PTPN1,-1,STAT5A,1
PTPN1,-1,STAT5B,1
PTPN1,1,IGF1R,7
PTPN1,1,INSR,18
PTPN1,1,PPP2R2A,34
PTPN1,1,STAT3,53
PTPN1,1,TYK2,53
PTPN2,-1,JAK1,4
PTPN2,-1,STAT1,4
PTPN2,-1,STAT3,4
PTPN2,-1,STAT5B,4
PXN,1,ILK,13
RAC1,-1,RHOA,53
RAC1,1,AKT1,5
RAC1,1,MAP3K10,18
RAC1,1,MAPK9,7
RAC1,1,PAK1,5
RAC1,1,PAK2,41
RAC1,1,SET,58
RAC1,1,STAT3,100
RAF1,-1,STK3,25
RAF1,-1,STK4,13
RARA,1,CTNNB1,1
RASA1,-1,HRAS,1
RASSF1,1,STK3,19
RBPJ,1,GTF2A2,100
RBPJ,1,MAML3,5
RELA,1,EGR1,100
RELA,1,JUN,100
RELA,1,SP1,100
RHEB,-1,EIF2AK3,22
RHEB,1,MTOR,13
RHOA,-1,PTPN1,54
RHOA,1,ACTB,1
RHOA,1,MAPK8,15
RHOA,1,ROCK1,4
RIPK1,1,TAB2,6
RIPK1,1,TAB3,6
RNF11,1,ITCH,3
RNF5,-1,MAVS,8
RNF7,-1,CASP3,29
RNF7,-1,HIF1A,29
RNF7,-1,JUN,29
ROCK1,-1,PPP1CA,4
ROCK1,1,MAPK8,4
RPS6KA2,1,ATF4,3
RPS6KA2,1,CREB1,3
RPS6KA3,1,ATF4,17
RPS6KA3,1,CREB1,17
RPS6KA3,1,EIF2AK2,8
RPS6KA3,1,SRF,17
RPS6KB1,-1,MDM2,1
RPS6KB1,1,CREM,100
RPTOR,-1,MTOR,6
SET,-1,PPP2CA,25
SET,-1,PPP2CB,33
SGK1,-1,NEDD4L,8
SGK1,1,CREB1,8
SHC1,1,GRB2,5
SIRT1,-1,EP300,9
SIRT1,-1,NFE2L2,22
SIRT1,-1,NOTCH1,14
SIRT1,-1,PER2,14
SIRT1,-1,RELA,22
SIRT1,-1,STAT5A,22
SIRT1,1,APEX1,4
SIRT1,1,NCOR1,3
SIRT1,1,SMAD7,14
SKP1,1,CUL1,29
SMAD1,1,SMAD4,27
SMAD4,1,ATF1,100
SMAD4,1,CREB1,100
SMAD4,1,MEF2A,100
SMAD7,1,SMURF2,22
SMAD7,1,TAB2,8
SMC3,-1,MXI1,100
SMURF2,-1,BMPR2,21
SMURF2,-1,TGFBR2,8
SMURF2,1,SMAD1,14
SOD1,1,EIF2AK3,12
SOS2,1,HRAS,2
SP1,1,ADAM17,20
SP1,1,CD2AP,16
SQSTM1,-1,SOD1,12
STAT1,1,ARNT,2
STAT1,1,IRF2,100
STAT2,1,STAT1,100
STAT3,1,EGR1,100
STAT3,1,HSP90AA1,15
STAT3,1,JUNB,100
STAT3,1,MAP2K5,5
STAT3,1,RELA,100
STAT6,1,RHOA,1
STK11,-1,PAK1,4
STK11,1,GSK3B,2
STK11,1,MARK2,1
STK11,1,NUAK1,11
STK11,1,PRKAA1,9
STK11,1,PRKAA2,20
STK11,1,PRKAG1,20
STK3,1,LATS1,35
STK3,1,LATS2,5
STK3,1,MOB1A,9
STK3,1,MOB1B,30
STK38,1,AAK1,7
STK4,1,LATS1,44
STK4,1,MOB1A,20
STK4,1,MOB1B,17
STK4,1,STK38,7
TAB2,1,MAP3K7,23
TAB3,1,MAP3K7,17
TAOK3,1,STK3,7
TBK1,1,AKT1,5
TBK1,1,NFKB1,100
TBK1,1,REL,100
TBK1,1,RELA,100
TBK1,1,SQSTM1,32
TBK1,1,STAT6,1
TBL1XR1,-1,BCL3,68
TGFBR1,1,PPP2R2A,8
TGFBR1,1,RAC1,8
TGFBR1,1,SMAD1,8
TGFBR2,1,MAP3K7,12
TGFBR2,1,TGFBR1,8
TGFBR2,1,TRAF6,12
TICAM1,1,TBK1,21
TICAM1,1,TRAF6,13
TRAF2,1,BIRC3,4
TRAF2,1,MAP3K7,8
TRAF2,1,TICAM1,25
TRAF3,-1,MAP3K14,7
TRAF3,1,TBK1,65
TRAF6,-1,ECSIT,15
TRAF6,1,AKT1,5
TRAF6,1,AKT3,3
TRAF6,1,MAP3K7,16
TRAF6,1,MAPK14,53
TRAF6,1,MAPK8,4
TRAF6,1,TAB2,9
TRAF6,1,TAB3,11
TRIM28,-1,STAT3,20
TRIM28,1,TBL1XR1,34
TSC2,-1,RHEB,19
TSHZ3,1,HDAC1,30
TYK2,1,STAT1,88
TYK2,1,STAT2,88
TYK2,1,STAT3,88
TYK2,1,STAT5A,88
TYK2,1,STAT5B,88
ULK1,-1,DYNLL1,3
ULK1,1,AMBRA1,10
ULK1,1,ATG13,4
ULK1,1,ATG9A,2
ULK1,1,GABARAP,19
ULK1,1,RB1CC1,6
USP28,-1,FBXW7,21
USP28,-1,SKP1,29
WWTR1,1,TEAD4,81
YAP1,1,SMAD1,19
YAP1,1,SMAD7,14
YAP1,1,TEAD4,19
YWHAQ,-1,CDKN1B,5
YY1,-1,NOTCH1,16
